,Unnamed: 0,index,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,0.0,,0,2019-04-27 14:03:22.802149,Pompe Funebri | Organizzazione di Funerali‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
1,1.0,,1,2019-04-27 14:03:22.802149,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
2,2.0,,2,2019-04-27 14:03:22.802149,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
3,3.0,,3,2019-04-27 14:03:22.802149,Pompe Funebri | Onoranze Funebri Serra Vado L.‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
4,4.0,,0,2019-04-27 14:03:22.802149,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.307208_8.482031,Pompe funebri,,,,to be implemented
5,,,0,2019-04-27 14:12:45.607691,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
6,,,1,2019-04-27 14:12:45.607691,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
7,,,2,2019-04-27 14:12:45.607691,Onoranze Funebri | Pompe Funebri Liguri | Al Vostro Servizio dal 1998‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
8,,,3,2019-04-27 14:12:45.607691,Pompe Funebri | Assistenza Funebre Completa | pompefunebriserra.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
9,,,0,2019-04-27 14:12:45.607691,Onoranze funebri valbormida | Reperibilità 24 ore su 24‎,ADS B,44.307208_8.482031,Pompe funebri,True,True,,to be implemented
