,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,,,07/06/2019 20:32:16,Not Available,NO ADS BOXES,G_e,Fosse spurgo,,,,to be implemented
1,,,,07/06/2019 20:36:17,Not Available,NO ADS BOXES,G_e,Fosse spurgo,,,,to be implemented
2,,0.0,0.0,08/06/19 20:42:27,Spurgo Fognature e Pozzi | Pronto Intervento 24H/7 | Contattaci Subito‎,ADS A,44.394044_8.958185,Fosse spurgo,No ADS,No ADS,No ADS,to be implemented
3,,,,08/06/19 20:44:38,Not Available,NO ADS BOXES,G_e,Fosse spurgo,,,,to be implemented
4,,0.0,0.0,08/06/19 20:48:41,Spurgo Fognature e Pozzi | Pronto Intervento 24H/7 | Contattaci Subito‎,ADS A,44.394044_8.958185,Fosse spurgo,No ADS,No ADS,No ADS,to be implemented
5,,0.0,0.0,08/06/19 20:50:51,Spurgo Fognature e Pozzi | Pronto Intervento 24H/7 | sangoi.it‎,ADS A,44.394044_8.958185,Fosse spurgo,No ADS,No ADS,No ADS,to be implemented
6,,0.0,0,08/06/19 21:01:28,Spurgo Fognature e Pozzi | Pronto Intervento 24H/7 | sangoi.it‎,ADS A,44.394044_8.958185,Fosse spurgo,No ADS,No ADS,No ADS,to be implemented
7,,0.0,0,08/06/19 21:03:39,Spurgo Fognature e Pozzi | Pronto Intervento 24H/7‎,ADS A,44.394044_8.958185,Fosse spurgo,No ADS,No ADS,No ADS,to be implemented
8,,0.0,0,08/06/19 21:05:49,Spurgo Fognature e Pozzi | Pronto Intervento 24H/7 | sangoi.it‎,ADS A,44.394044_8.958185,Fosse spurgo,No ADS,No ADS,No ADS,to be implemented
9,,0.0,0,08/06/19 21:07:59,Spurgo Fognature e Pozzi | Pronto Intervento 24H/7 | sangoi.it‎,ADS A,44.394044_8.958185,Fosse spurgo,No ADS,No ADS,No ADS,to be implemented
10,,0.0,0,08/06/19 21:10:10,Spurgo Fognature e Pozzi | Pronto Intervento 24H/7 | sangoi.it‎,ADS A,44.394044_8.958185,Fosse spurgo,No ADS,No ADS,No ADS,to be implemented
