,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0,0,2019-05-01 14:35:43.100678,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
1,,0,1,2019-05-01 14:35:43.100678,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
2,,0,2,2019-05-01 14:35:43.100678,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
3,,0,3,2019-05-01 14:35:43.100678,Pompe Funebri | La Savonese | OnoranzefunebriLaSavonese.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
4,,0,0,2019-05-01 14:35:43.100678,Onoranze funebri valbormida | Reperibilità 24 ore su 24‎,ADS B,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
5,,0,0,2019-05-01 14:37:44.696200,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
6,,0,1,2019-05-01 14:37:44.696200,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
7,,0,2,2019-05-01 14:37:44.696200,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
8,,0,0,2019-05-01 14:37:44.696200,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
9,,0,1,2019-05-01 14:37:44.696200,Pompe Funebri | La Savonese‎,ADS B,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
10,,0,0,2019-05-01 14:39:45.613031,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
11,,0,1,2019-05-01 14:39:45.613031,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
12,,0,2,2019-05-01 14:39:45.613031,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
13,,0,0,2019-05-01 14:39:45.613031,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
14,,0,1,2019-05-01 14:39:45.613031,Pompe Funebri | La Savonese‎,ADS B,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
15,,0,0,2019-05-01 14:41:47.187290,Pompe Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
16,,0,1,2019-05-01 14:41:47.187290,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
17,,0,2,2019-05-01 14:41:47.187290,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
18,,0,0,2019-05-01 14:41:47.187290,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
19,,0,0,2019-05-01 14:43:47.408637,Pompe Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
20,,0,1,2019-05-01 14:43:47.408637,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
21,,0,2,2019-05-01 14:43:47.408637,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
22,,0,0,2019-05-01 14:45:03.772025,Pompe Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
23,,0,1,2019-05-01 14:45:03.772025,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
24,,0,2,2019-05-01 14:45:03.772025,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
25,,0,0,2019-05-01 14:46:21.209024,Pompe Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
