,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0,0,03/06/19 21:04:10,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
1,,0,1,03/06/19 21:04:10,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
2,,0,2,03/06/19 21:04:10,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
3,,0,3,03/06/19 21:04:10,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
4,,0,0,03/06/19 21:06:23,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
5,,0,1,03/06/19 21:06:23,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
6,,0,2,03/06/19 21:06:23,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
7,,0,3,03/06/19 21:06:23,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
8,,0,0,03/06/19 21:06:23,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.307208_8.482031,Pompe funebri,No ADS,No ADS,No ADS,to be implemented
9,,0,0,03/06/19 21:08:44,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
10,,0,1,03/06/19 21:08:44,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
11,,0,2,03/06/19 21:08:44,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
12,,0,3,03/06/19 21:08:44,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
13,,0,0,03/06/19 21:08:44,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.307208_8.482031,Pompe funebri,True,No ADS,No ADS,to be implemented
14,,0,0,03/06/19 21:11:03,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
15,,0,1,03/06/19 21:11:03,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
16,,0,2,03/06/19 21:11:03,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
17,,0,3,03/06/19 21:11:03,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
18,,0,0,03/06/19 21:13:15,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
19,,0,1,03/06/19 21:13:15,Pompe Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
20,,0,2,03/06/19 21:13:15,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
21,,0,3,03/06/19 21:13:15,Funerali Completi | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
22,,0,0,03/06/19 21:15:27,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
23,,0,1,03/06/19 21:15:27,Pompe Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
24,,0,2,03/06/19 21:15:27,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
25,,0,0,03/06/19 21:15:27,Funerali Completi | Pompe Funebri Liguri‎,ADS B,44.307208_8.482031,Pompe funebri,No ADS,No ADS,No ADS,to be implemented
26,,0,0,03/06/19 21:17:48,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
27,,0,1,03/06/19 21:17:48,Pompe Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
28,,0,2,03/06/19 21:17:48,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
29,,0,0,03/06/19 21:17:48,Funerali Completi | Pompe Funebri Liguri‎,ADS B,44.307208_8.482031,Pompe funebri,No ADS,No ADS,No ADS,to be implemented
30,,0,0,03/06/19 21:19:08,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
31,,0,1,03/06/19 21:19:08,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
32,,0,2,03/06/19 21:19:08,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
33,,0,3,03/06/19 21:19:08,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
34,,0,0,03/06/19 21:21:20,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
35,,0,1,03/06/19 21:21:20,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
36,,0,2,03/06/19 21:21:20,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
37,,0,3,03/06/19 21:21:20,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
38,,0,0,03/06/19 21:21:20,Onoranze funebri valbormida | Reperibilità 24 ore su 24‎,ADS B,44.307208_8.482031,Pompe funebri,True,No ADS,No ADS,to be implemented
39,,0,0,03/06/19 21:23:41,Pompe Funebri | Servizi Funebri Completi‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
40,,0,1,03/06/19 21:23:41,Pompe Funebri | Del Buono‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
41,,0,2,03/06/19 21:23:41,Pompe Funebri | Onoranze Funebri Ferro‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
42,,0,3,03/06/19 21:23:41,Onoranze Funebri | Pompe Funebri Liguri‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
43,,0,0,03/06/19 21:25:52,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
44,,0,1,03/06/19 21:25:52,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
45,,0,2,03/06/19 21:25:52,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
46,,0,3,03/06/19 21:25:52,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.307208_8.482031,Pompe funebri,True,True,True,to be implemented
47,,0,0,03/06/19 21:28:04,Pompe Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
48,,0,1,03/06/19 21:28:04,Pompe Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
49,,0,2,03/06/19 21:28:04,Pompe Funebri | Onoranze Funebri Ferro | pompefunebriferrovarazze.it‎,ADS A,44.307208_8.482031,Pompe funebri,False,False,False,to be implemented
