,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,,,08/06/19 20:05:51,Not Available,NO ADS BOXES,S_a,Socrem apeiron,,,,to be implemented
1,,,,08/06/19 20:09:52,Not Available,NO ADS BOXES,S_a,Socrem apeiron,,,,to be implemented
2,,,,08/06/19 20:13:55,Not Available,NO ADS BOXES,S_a,Socrem apeiron,,,,to be implemented
3,,,,08/06/19 20:17:58,Not Available,NO ADS BOXES,S_a,Socrem apeiron,,,,to be implemented
4,,,,08/06/19 20:27:50,Not Available,NO ADS BOXES,S_a,Socrem apeiron,,,,to be implemented
5,,,,08/06/19 20:31:52,Not Available,NO ADS BOXES,S_a,Socrem apeiron,,,,to be implemented
6,,,,08/06/19 20:35:55,Not Available,NO ADS BOXES,S_a,Socrem apeiron,,,,to be implemented
7,,,,08/06/19 20:39:58,Not Available,NO ADS BOXES,S_a,Socrem apeiron,,,,to be implemented
8,,,,08/06/19 21:08:31,Not Available,NO ADS BOXES,S_a,Socrem apeiron,,,,to be implemented
9,,,,08/06/19 21:12:32,Not Available,NO ADS BOXES,S_a,Socrem apeiron,,,,to be implemented
