,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0.0,0.0,2019-05-05 02:36:33.288924,Migliori Tariffe Telefoniche Mobile | Trova 10 migliori risultati‎,ADS A,44.393906_8.958207,Telefonia mobile,,,,to be implemented
1,,0.0,1.0,2019-05-05 02:36:33.288924,"Offerta Telefonia Mobile | Offerta iliad a 7,99€/mese | iliad.it‎",ADS A,44.393906_8.958207,Telefonia mobile,,,,to be implemented
2,,0.0,0.0,2019-05-05 02:43:42.729014,Migliori Tariffe Telefoniche Mobile | Trova 10 migliori risultati‎,ADS A,44.393906_8.958207,Telefonia mobile,No ADS,True,True,to be implemented
3,,0.0,0.0,2019-05-05 02:43:42.729014,"Offerta di Telefonia Mobile | Offerta iliad a 7,99€/mese‎",ADS B,44.393906_8.958207,Telefonia mobile,No ADS,No ADS,No ADS,to be implemented
4,,0.0,0.0,2019-05-05 02:45:43.467418,Migliori Tariffe Telefoniche Mobile | Trova 10 migliori risultati‎,ADS B,44.393906_8.958207,Telefonia mobile,No ADS,No ADS,No ADS,to be implemented
5,,0.0,0.0,2019-05-05 02:46:59.693156,Migliori Tariffe Telefoniche Mobile | Trova 10 migliori risultati‎,ADS B,44.393906_8.958207,Telefonia mobile,No ADS,No ADS,No ADS,to be implemented
6,,0.0,0.0,2019-05-05 02:48:16.164543,Migliori Tariffe Telefoniche Mobile | Trova 10 migliori risultati‎,ADS B,44.393906_8.958207,Telefonia mobile,No ADS,No ADS,True,to be implemented
7,,0.0,0.0,2019-05-05 02:49:31.481205,Migliori Tariffe Telefoniche Mobile | Trova 10 migliori risultati‎,ADS B,44.393906_8.958207,Telefonia mobile,No ADS,No ADS,False,to be implemented
8,,0.0,1.0,2019-05-05 02:49:31.481205,Migliori Offerte Telefoniche Mobili | Pronto.com‎,ADS B,44.393906_8.958207,Telefonia mobile,No ADS,No ADS,False,to be implemented
9,,0.0,2.0,2019-05-05 02:49:31.481205,Offerte Di Telefonia Mobile | Cerca Offerte Di Telefonia Mobile‎,ADS B,44.393906_8.958207,Telefonia mobile,No ADS,No ADS,True,to be implemented
