,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0.0,0.0,04/06/19 01:45:34,Migliore Offerte Telefonia Mobile | Trova 10 migliori risultati | smarter.com‎,ADS A,45.478771_9.186033,Telefonia mobile,False,False,False,to be implemented
1,,0.0,1.0,04/06/19 01:45:34,Offerta Telefonia Mobile | Best Operator 2018 | iliad.it‎,ADS A,45.478771_9.186033,Telefonia mobile,True,True,True,to be implemented
2,,0.0,0.0,04/06/19 01:47:46,Telefonia mobile | 50 GB 4G + Minuti Illimitati | KenaMobile.it‎,ADS A,45.478771_9.186033,Telefonia mobile,No ADS,False,False,to be implemented
3,,0.0,1.0,04/06/19 01:47:46,Migliore Offerte Telefonia Mobile | Trova 10 migliori risultati | smarter.com‎,ADS A,45.478771_9.186033,Telefonia mobile,No ADS,True,True,to be implemented
4,,0.0,0.0,04/06/19 01:49:57,Telefonia mobile | 50 GB 4G + Minuti Illimitati | KenaMobile.it‎,ADS A,45.478771_9.186033,Telefonia mobile,No ADS,No ADS,True,to be implemented
5,,0.0,0.0,04/06/19 01:52:08,Telefonia mobile | 50 GB 4G + Minuti Illimitati‎,ADS B,45.478771_9.186033,Telefonia mobile,True,True,True,to be implemented
6,,0.0,0.0,04/06/19 01:54:19,Telefonia mobile | 50 GB 4G + Minuti Illimitati‎,ADS B,45.478771_9.186033,Telefonia mobile,False,No ADS,No ADS,to be implemented
7,,0.0,1.0,04/06/19 01:54:19,Promozioni Gestori Telefonia Mobile | Trova 10 migliori risultati‎,ADS B,45.478771_9.186033,Telefonia mobile,True,No ADS,No ADS,to be implemented
8,,0.0,0.0,04/06/19 01:56:30,Telefonia mobile | 50 GB 4G + Minuti Illimitati | KenaMobile.it‎,ADS A,45.478771_9.186033,Telefonia mobile,No ADS,No ADS,No ADS,to be implemented
9,,0.0,0.0,04/06/19 01:56:30,Tariffe Telefoniche Mobili | Trova 10 migliori risultati‎,ADS B,45.478771_9.186033,Telefonia mobile,No ADS,No ADS,No ADS,to be implemented
10,,0.0,1.0,04/06/19 01:56:30,Migliore Offerta Rete Mobile | Cerca Migliore Offerta Rete Mobile‎,ADS B,45.478771_9.186033,Telefonia mobile,No ADS,No ADS,No ADS,to be implemented
11,,0.0,2.0,04/06/19 01:56:30,"Offerta Mobile a 7,99€/mese | Offerta di Telefonia Mobile | iliad‎",ADS B,45.478771_9.186033,Telefonia mobile,No ADS,No ADS,No ADS,to be implemented
