,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0.0,0.0,13/07/19 02:30:34,Studio Up | Agenzia Web | studioup.it‎,ADS A,44.393906_8.958207,agenzia web,False,False,False,to be implemented
1,,0.0,1.0,13/07/19 02:30:34,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjFmJ6U0rDjAhVV5HcKHcVwBPIYABABGgJlZg&amp;ohost=www.google.com&amp;cid=CAASE-Ro94yZnOOIfQTsnpWqVnmmaQw&amp;sig=AOD64_3nmkpsx5s8ayIzUFHVU9iikSUzKg&amp;adurl=&amp;q="" data-ved=""2ahUKEwi_i5iU0rDjAhVL4aQKHS6zAywQqyQoAHoECA0QBA"" href=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjFmJ6U0rDjAhVV5HcKHcVwBPIYABABGgJlZg&amp;ohost=www.google.com&amp;cid=CAASE-Ro94yZnOOIfQTsnpWqVnmmaQw&amp;sig=AOD64_3nmkpsx5s8ayIzUFHVU9iikSUzKg&amp;adurl=&amp;q="" onmousedown=""return google.f['LmvwCb'](this)"" ontouchstart=""return google.f['bez1fd'](this)"">Portfolio</a>",ADS A,44.393906_8.958207,agenzia web,,,,to be implemented
2,,0.0,2.0,13/07/19 02:30:34,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjFmJ6U0rDjAhVV5HcKHcVwBPIYABACGgJlZg&amp;ohost=www.google.com&amp;cid=CAASE-Ro94yZnOOIfQTsnpWqVnmmaQw&amp;sig=AOD64_17xNsssoa-DlFQvHHiPbPB9hH5uQ&amp;adurl=&amp;q="" data-ved=""2ahUKEwi_i5iU0rDjAhVL4aQKHS6zAywQqyQoAXoECA0QBQ"" href=""http://www.studioup.it"" onmousedown=""return google.f['LmvwCb'](this)"" ontouchstart=""return google.f['bez1fd'](this)"">Sito web</a>",ADS A,44.393906_8.958207,agenzia web,,,,to be implemented
3,,0.0,3.0,13/07/19 02:30:34,At-Media Agenzia Web | Attira Nuovi Clienti | at-media.it‎,ADS A,44.393906_8.958207,agenzia web,False,False,False,to be implemented
4,,0.0,4.0,13/07/19 02:30:34,Agenzia di Marketing IOL | Aumenta i Tuoi Clienti | ItaliaOnline.it‎,ADS A,44.393906_8.958207,agenzia web,True,True,True,to be implemented
5,,0.0,0.0,13/07/19 02:30:34,Agenzia Web Rimini | Soluzione Veloce ed Economica‎,ADS B,44.393906_8.958207,agenzia web,False,No ADS,No ADS,to be implemented
6,,0.0,1.0,13/07/19 02:30:34,Consulenza seo per tutti i CMS | Seo dedicato alla tua azienda‎,ADS B,44.393906_8.958207,agenzia web,False,No ADS,No ADS,to be implemented
7,,0.0,2.0,13/07/19 02:30:34,Sito Web a Soli € 497 | Completo e Professionale‎,ADS B,44.393906_8.958207,agenzia web,True,No ADS,No ADS,to be implemented
8,,0.0,0.0,13/07/19 02:32:54,Studio Up | Agenzia Web | studioup.it‎,ADS A,44.393906_8.958207,agenzia web,No ADS,False,False,to be implemented
9,,0.0,1.0,13/07/19 02:32:54,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjTva_X0rDjAhXJh7IKHVL-CYUYABABGgJscg&amp;ohost=www.google.com&amp;cid=CAASE-RoNqyb0ZzeXln8VM1JeuvUeOg&amp;sig=AOD64_2s6PLFbkadfk4EJqWWn_rT8jEBng&amp;adurl=&amp;q="" data-ved=""2ahUKEwj_lanX0rDjAhVHAxAIHRZ5AVUQqyQoAHoECA0QBA"" href=""http://www.studioup.it"" onmousedown=""return google.f['LmvwCb'](this)"" ontouchstart=""return google.f['bez1fd'](this)"">Sito web</a>",ADS A,44.393906_8.958207,agenzia web,,,,to be implemented
10,,0.0,2.0,13/07/19 02:32:54,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjTva_X0rDjAhXJh7IKHVL-CYUYABACGgJscg&amp;ohost=www.google.com&amp;cid=CAASE-RoNqyb0ZzeXln8VM1JeuvUeOg&amp;sig=AOD64_0tMqidIgitV3-tQuhW1f7Sp84PYg&amp;adurl=&amp;q="" data-ved=""2ahUKEwj_lanX0rDjAhVHAxAIHRZ5AVUQqyQoAXoECA0QBQ"" href=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjTva_X0rDjAhXJh7IKHVL-CYUYABACGgJscg&amp;ohost=www.google.com&amp;cid=CAASE-RoNqyb0ZzeXln8VM1JeuvUeOg&amp;sig=AOD64_0tMqidIgitV3-tQuhW1f7Sp84PYg&amp;adurl=&amp;q="" onmousedown=""return google.f['LmvwCb'](this)"" ontouchstart=""return google.f['bez1fd'](this)"">Portfolio</a>",ADS A,44.393906_8.958207,agenzia web,,,,to be implemented
11,,0.0,3.0,13/07/19 02:32:54,At-Media Agenzia Web | Attira Nuovi Clienti | at-media.it‎,ADS A,44.393906_8.958207,agenzia web,No ADS,True,True,to be implemented
12,,0.0,0.0,13/07/19 02:32:54,Agenzia di Marketing IOL | Aumenta i Tuoi Clienti‎,ADS B,44.393906_8.958207,agenzia web,False,No ADS,No ADS,to be implemented
13,,0.0,1.0,13/07/19 02:32:54,Agenzia Web Rimini | Soluzione Veloce ed Economica‎,ADS B,44.393906_8.958207,agenzia web,False,No ADS,No ADS,to be implemented
14,,0.0,2.0,13/07/19 02:32:54,Sito Web a Soli € 497 | Completo e Professionale‎,ADS B,44.393906_8.958207,agenzia web,True,No ADS,No ADS,to be implemented
15,,0.0,0.0,13/07/19 02:35:13,Studio Up | Agenzia Web‎,ADS A,44.393906_8.958207,agenzia web,No ADS,False,False,to be implemented
