,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,,,25/07/19 20:45:31,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
1,,,,26/07/19 01:10:59,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
2,,,,26/07/19 01:45:11,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
3,,,,26/07/19 01:57:32,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
4,,,,26/07/19 02:26:34,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
5,,,,26/07/19 02:35:29,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
6,,,,27/07/19 02:59:18,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
7,,,,27/07/19 03:04:36,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
8,,,,27/07/19 03:17:25,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
9,,,,28/07/19 03:21:17,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
10,,,,28/07/19 03:29:17,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
11,,,,28/07/19 14:55:28,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
12,,,,28/07/19 15:19:06,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
13,,,,28/07/19 15:26:05,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
14,,,,28/07/19 15:35:58,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
15,,,,28/07/19 15:41:44,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
16,,,,29/07/19 01:14:44,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
17,,,,29/07/19 01:23:28,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
18,,,,29/07/19 02:00:50,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
19,,,,29/07/19 02:14:08,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
20,,,,29/07/19 02:24:24,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
21,,,,31/10/19 16:18:13,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
22,,,,01/11/19 01:12:02,Not Available,NO ADS BOXES,S_e,commercial web,,,,to be implemented
