,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0,0,14/07/19 01:59:36,Lettiera Gatti su Amazon.it | Scopri tutte le offerte‎,ADS A,44.394044_8.958185,lettiera gatti,1.0,1.0,1.0,to be implemented
1,,0,0,14/07/19 02:22:56,Lettiera Gatti su Amazon.it | Scopri tutte le offerte‎,ADS A,44.394044_8.958185,lettiera gatti,True,True,True,to be implemented
2,,0,0,14/07/19 02:25:08,Lettiera Per Gatti su Amazon.it | Scopri tutte le offerte‎,ADS A,44.394044_8.958185,lettiera gatti,True,True,True,to be implemented
3,,0,0,14/07/19 02:27:19,Lettiere Per Gatti su Amazon.it | Scopri tutte le offerte‎,ADS B,44.394044_8.958185,lettiera gatti,No ADS,No ADS,No ADS,to be implemented
4,,0,0,14/07/19 02:29:29,Lettiere Gatto su Amazon.it | Scopri tutte le offerte‎,ADS B,44.394044_8.958185,lettiera gatti,True,No ADS,No ADS,to be implemented
5,,0,0,14/07/19 02:31:39,Lettiere Per Gatti su Amazon.it | Scopri tutte le offerte‎,ADS B,44.394044_8.958185,lettiera gatti,True,True,True,to be implemented
6,,0,0,14/07/19 02:33:49,"Lettiera naturale per gatti | 100% naturale, 100% biologica‎",ADS B,44.394044_8.958185,lettiera gatti,False,False,False,to be implemented
7,,0,1,14/07/19 02:33:49,Lettiere Per Gatti su Amazon.it | Scopri tutte le offerte‎,ADS B,44.394044_8.958185,lettiera gatti,False,False,False,to be implemented
8,,0,2,14/07/19 02:33:49,Lettiere per gatti in promo | Prezzo speciale su zooplus‎,ADS B,44.394044_8.958185,lettiera gatti,True,True,True,to be implemented
9,,0,0,14/07/19 02:36:00,"Lettiera naturale per gatti | 100% naturale, 100% biologica‎",ADS B,44.394044_8.958185,lettiera gatti,False,False,False,to be implemented
10,,0,1,14/07/19 02:36:00,Lettiere Gatti su Amazon.it | Scopri tutte le offerte‎,ADS B,44.394044_8.958185,lettiera gatti,False,False,False,to be implemented
11,,0,2,14/07/19 02:36:00,Lettiere per gatti in promo | Prezzo speciale su zooplus‎,ADS B,44.394044_8.958185,lettiera gatti,True,True,True,to be implemented
12,,0,0,15/07/19 15:19:33,Amazon.it - Lettiera per gatto | Scopri tutte le offerte‎,ADS A,44.394044_8.958185,lettiera gatti,True,True,True,to be implemented
13,,0,0,15/07/19 15:21:35,Lettiere Per Gatti su Amazon.it | Scopri tutte le offerte‎,ADS A,44.394044_8.958185,lettiera gatti,True,True,True,to be implemented
14,,0,0,15/07/19 15:23:36,Lettiere Per Gatti su Amazon.it | Scopri tutte le offerte‎,ADS A,44.394044_8.958185,lettiera gatti,True,No ADS,No ADS,to be implemented
15,,0,0,15/07/19 15:25:37,Lettiera Gatti su Amazon.it | Scopri tutte le offerte‎,ADS B,44.394044_8.958185,lettiera gatti,No ADS,No ADS,No ADS,to be implemented
16,,0,0,15/07/19 15:27:37,Lettiera Gatti su Amazon.it | Scopri tutte le offerte‎,ADS B,44.394044_8.958185,lettiera gatti,No ADS,False,False,to be implemented
17,,0,1,15/07/19 15:27:37,"Lettiera naturale per gatti | 100% naturale, 100% biologica‎",ADS B,44.394044_8.958185,lettiera gatti,No ADS,False,False,to be implemented
18,,0,2,15/07/19 15:27:37,Lettiere per gatti in promo | Prezzo speciale su zooplus‎,ADS B,44.394044_8.958185,lettiera gatti,No ADS,True,True,to be implemented
19,,0,0,15/07/19 15:29:38,Lettiera Gatti su Amazon.it | Scopri tutte le offerte‎,ADS B,44.394044_8.958185,lettiera gatti,No ADS,False,False,to be implemented
20,,0,1,15/07/19 15:29:38,Lettiere per gatti in promo | Prezzo speciale su zooplus‎,ADS B,44.394044_8.958185,lettiera gatti,No ADS,False,False,to be implemented
21,,0,2,15/07/19 15:29:38,"Lettiera naturale per gatti | 100% naturale, 100% biologica‎",ADS B,44.394044_8.958185,lettiera gatti,No ADS,True,True,to be implemented
22,,0,0,15/07/19 15:31:38,Lettiera Per Gatto su Amazon.it | Scopri tutte le offerte‎,ADS B,44.394044_8.958185,lettiera gatti,False,False,False,to be implemented
23,,0,1,15/07/19 15:31:38,"Lettiera naturale per gatti | 100% naturale, 100% biologica‎",ADS B,44.394044_8.958185,lettiera gatti,False,False,False,to be implemented
24,,0,2,15/07/19 15:31:38,Lettiera per gatti | La seconda la paghi la metà | Isola dei Tesori‎,ADS B,44.394044_8.958185,lettiera gatti,True,True,True,to be implemented
