,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0.0,0.0,31/07/19 01:28:17,Business Marketing | Market to Who Matters | LinkedIn.com‎,ADS A,44.393906_8.958207,marketing,False,False,False,to be implemented
1,,0.0,1.0,31/07/19 01:28:17,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwj37Kfn5d3jAhWJme0KHSUbDKYYABABGgJkZw&amp;ohost=www.google.com&amp;cid=CAASE-Ro-SG6PXepPMJfOvVj9KQWAjM&amp;sig=AOD64_1ZeJA6lOJLC2IFPaQs_EtJ1WPt1Q&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwiK7aDn5d3jAhXDK1AKHde8AqIQqyQoAHoECBUQBA"" href=""https://business.linkedin.com/marketing-solutions/ads/pricing"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Ad Pricing</a>",ADS A,44.393906_8.958207,marketing,,,,to be implemented
2,,0.0,2.0,31/07/19 01:28:17,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwj37Kfn5d3jAhWJme0KHSUbDKYYABACGgJkZw&amp;ohost=www.google.com&amp;cid=CAASE-Ro-SG6PXepPMJfOvVj9KQWAjM&amp;sig=AOD64_3wkkY7JHsOzaWH_WiZLcKbbA40NA&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwiK7aDn5d3jAhXDK1AKHde8AqIQqyQoAXoECBUQBQ"" href=""https://business.linkedin.com/marketing-solutions/native-advertising/video-ads"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Video Ads</a>",ADS A,44.393906_8.958207,marketing,,,,to be implemented
3,,0.0,0.0,31/07/19 01:30:28,Business Marketing | Market to Who Matters | LinkedIn.com‎,ADS A,44.393906_8.958207,marketing,False,False,False,to be implemented
4,,0.0,1.0,31/07/19 01:30:28,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwi5yfql5t3jAhWDse0KHQw7DigYABABGgJkZw&amp;ohost=www.google.com&amp;cid=CAASE-RoRYkHRqlq185v0WphbKsHPiA&amp;sig=AOD64_1zSN92zVxUI2UpszL07eOcOlzA2Q&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwinzfOl5t3jAhUNzaQKHdr4BuUQqyQoAHoECBAQBA"" href=""https://business.linkedin.com/marketing-solutions/native-advertising"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Content Marketing</a>",ADS A,44.393906_8.958207,marketing,,,,to be implemented
5,,0.0,2.0,31/07/19 01:30:28,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwi5yfql5t3jAhWDse0KHQw7DigYABACGgJkZw&amp;ohost=www.google.com&amp;cid=CAASE-RoRYkHRqlq185v0WphbKsHPiA&amp;sig=AOD64_0x29ud6Dj-tX2jqnn_-cxG4aFNFA&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwinzfOl5t3jAhUNzaQKHdr4BuUQqyQoAXoECBAQBQ"" href=""https://business.linkedin.com/marketing-solutions/audience"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Our Audience</a>",ADS A,44.393906_8.958207,marketing,,,,to be implemented
6,,0.0,0.0,31/07/19 02:21:09,Business Marketing | Market to Who Matters | LinkedIn.com‎,ADS A,44.393906_8.958207,marketing,False,False,False,to be implemented
7,,0.0,1.0,31/07/19 02:21:09,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwikyJbQ8d3jAhXHse0KHT5PCd4YABABGgJkZw&amp;ohost=www.google.com&amp;cid=CAASE-Romn204Jtx1viggTbmp07piYM&amp;sig=AOD64_0l7W33XFvRDF_BQz0jvo92t2tekw&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwj79Y_Q8d3jAhXI5KQKHW7eAPYQqyQoAHoECBQQBA"" href=""https://business.linkedin.com/marketing-solutions/dynamic-ads"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Dynamic Targeting</a>",ADS A,44.393906_8.958207,marketing,,,,to be implemented
8,,0.0,2.0,31/07/19 02:21:09,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwikyJbQ8d3jAhXHse0KHT5PCd4YABACGgJkZw&amp;ohost=www.google.com&amp;cid=CAASE-Romn204Jtx1viggTbmp07piYM&amp;sig=AOD64_0Zdo2RlVPxv-9iywp-D0AnmDYYDw&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwj79Y_Q8d3jAhXI5KQKHW7eAPYQqyQoAXoECBQQBQ"" href=""https://business.linkedin.com/marketing-solutions/native-advertising/video-ads"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Video Ads</a>",ADS A,44.393906_8.958207,marketing,,,,to be implemented
9,,0.0,0.0,31/07/19 02:23:20,Business Marketing | Market to Who Matters | LinkedIn.com‎,ADS A,44.393906_8.958207,marketing,False,False,No ADS,to be implemented
10,,0.0,1.0,31/07/19 02:23:20,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwj8ieSO8t3jAhVFtO0KHf0cAVoYABABGgJkZw&amp;ohost=www.google.com&amp;cid=CAASE-RorVCPz5ieOKOGBpuW9rPw0NQ&amp;sig=AOD64_2H6aCzAkpYcSF_7rLR5nzt43s-kQ&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwi8xdyO8t3jAhVPZJoKHb-XDhQQqyQoAHoECBAQBA"" href=""https://business.linkedin.com/marketing-solutions/audience"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Our Audience</a>",ADS A,44.393906_8.958207,marketing,,,,to be implemented
