,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,,,12/07/19 20:28:28,Not Available,NO ADS BOXES,4_5,otturazioni impianti dentali,,,,to be implemented
1,,,,12/07/19 20:32:29,Not Available,NO ADS BOXES,4_5,otturazioni impianti dentali,,,,to be implemented
2,,,,12/07/19 20:36:32,Not Available,NO ADS BOXES,4_5,otturazioni impianti dentali,,,,to be implemented
3,,0.0,0.0,12/07/19 20:40:35,Costo Otturazione Dentale | Trova 10 migliori risultati‎,ADS B,45.457636_9.148441,otturazioni impianti dentali,No ADS,No ADS,No ADS,to be implemented
4,,0.0,0.0,12/07/19 20:42:46,Tecnica Senza Bisturi | Impianti Dentali a Saronno‎,ADS B,45.457636_9.148441,otturazioni impianti dentali,No ADS,No ADS,No ADS,to be implemented
5,,0.0,1.0,12/07/19 20:42:46,Costo Otturazione Dentale | Trova 10 migliori risultati‎,ADS B,45.457636_9.148441,otturazioni impianti dentali,No ADS,No ADS,No ADS,to be implemented
6,,0.0,0.0,12/07/19 20:44:56,Costo Otturazione Dentale | Trova 10 migliori risultati‎,ADS B,45.457636_9.148441,otturazioni impianti dentali,No ADS,No ADS,No ADS,to be implemented
7,,0.0,1.0,12/07/19 20:44:56,Tecnica Senza Bisturi | Impianti Dentali a Saronno‎,ADS B,45.457636_9.148441,otturazioni impianti dentali,No ADS,No ADS,No ADS,to be implemented
8,,0.0,2.0,12/07/19 20:44:56,Impianti dentali con poco osso | Denti fissi e solo 4 impianti‎,ADS B,45.457636_9.148441,otturazioni impianti dentali,No ADS,No ADS,No ADS,to be implemented
9,,0.0,0.0,12/07/19 20:47:07,Tecnica Senza Bisturi | Impianti Dentali a Saronno‎,ADS B,45.457636_9.148441,otturazioni impianti dentali,No ADS,No ADS,No ADS,to be implemented
10,,0.0,1.0,12/07/19 20:47:07,Costo Otturazione Dentale | Trova 10 migliori risultati‎,ADS B,45.457636_9.148441,otturazioni impianti dentali,No ADS,No ADS,No ADS,to be implemented
11,,0.0,2.0,12/07/19 20:47:07,Impianti dentali con poco osso | Denti fissi e solo 4 impianti‎,ADS B,45.457636_9.148441,otturazioni impianti dentali,No ADS,No ADS,No ADS,to be implemented
12,,,,16/07/19 02:21:08,Not Available,NO ADS BOXES,4_5,otturazioni impianti dentali,,,,to be implemented
