,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0,0,17/07/19 03:09:52,Pompe Funebri | A.Se.f. a Genova | asef.it‎,ADS A,44.394044_8.958185,pompe funebri,False,0.0,False,to be implemented
1,,0,1,17/07/19 03:09:52,Impresa di Pompe Funebri | Ferrari a Genova | ferrarifuneral.it‎,ADS A,44.394044_8.958185,pompe funebri,False,0.0,False,to be implemented
2,,0,2,17/07/19 03:09:52,Pompe Funebri | De Marchi a Recco‎,ADS A,44.394044_8.958185,pompe funebri,False,0.0,False,to be implemented
3,,0,3,17/07/19 03:09:52,Pompe Funebri Genova | Barletta e Granello‎,ADS A,44.394044_8.958185,pompe funebri,True,1.0,True,to be implemented
4,,0,0,17/07/19 03:11:52,Impresa di Pompe Funebri | Ferrari a Genova | ferrarifuneral.it‎,ADS A,44.394044_8.958185,pompe funebri,False,0.0,False,to be implemented
5,,0,1,17/07/19 03:11:52,Pompe Funebri | A.Se.f. a Genova | asef.it‎,ADS A,44.394044_8.958185,pompe funebri,False,0.0,False,to be implemented
6,,0,2,17/07/19 03:11:52,Pompe Funebri Genova | Barletta e Granello‎,ADS A,44.394044_8.958185,pompe funebri,False,0.0,False,to be implemented
7,,0,3,17/07/19 03:11:52,Pompe Funebri | De Marchi a Recco | onoranzefunebridemarchi.it‎,ADS A,44.394044_8.958185,pompe funebri,True,1.0,True,to be implemented
8,,0,0,17/07/19 03:11:52,Servizi di Pompe Funebri | Onoranze Funebri Serra Riccò‎,ADS B,44.394044_8.958185,pompe funebri,No ADS,0.0,No ADS,to be implemented
9,,0,1,17/07/19 03:11:52,Pompe Funebri | Olivieri a Busalla‎,ADS B,44.394044_8.958185,pompe funebri,No ADS,0.0,No ADS,to be implemented
10,,0,2,17/07/19 03:11:52,Onoranze Funebri Gianelli - con umanità affianco a voi‎,ADS B,44.394044_8.958185,pompe funebri,No ADS,1.0,No ADS,to be implemented
11,,0,0,23/07/19 01:30:43,Pompe Funebri | A.Se.f. a Genova | asef.it‎,ADS A,44.394044_8.958185,pompe funebri,False,False,False,to be implemented
12,,0,1,23/07/19 01:30:43,La Generale Pompe Funebri | Esperienza da più di 40 anni‎,ADS A,44.394044_8.958185,pompe funebri,False,False,False,to be implemented
13,,0,2,23/07/19 01:30:43,Impresa di Pompe Funebri | Ferrari a Genova | ferrarifuneral.it‎,ADS A,44.394044_8.958185,pompe funebri,False,False,False,to be implemented
14,,0,3,23/07/19 01:30:43,Pompe Funebri | Servizi Funebri Completi | onoranzefunebridemarchi.it‎,ADS A,44.394044_8.958185,pompe funebri,True,True,True,to be implemented
15,,0,0,23/07/19 01:30:43,Pompe Funebri Genova | Barletta e Granello‎,ADS B,44.394044_8.958185,pompe funebri,False,No ADS,No ADS,to be implemented
16,,0,1,23/07/19 01:30:43,Pompe Funebri | La Codevillese a Voghera‎,ADS B,44.394044_8.958185,pompe funebri,True,No ADS,No ADS,to be implemented
17,,0,0,23/07/19 01:33:02,Pompe Funebri | A.Se.f. a Genova | asef.it‎,ADS A,44.394044_8.958185,pompe funebri,False,False,False,to be implemented
18,,0,1,23/07/19 01:33:02,La Generale Pompe Funebri | Esperienza da più di 40 anni‎,ADS A,44.394044_8.958185,pompe funebri,False,False,False,to be implemented
19,,0,2,23/07/19 01:33:02,Impresa di Pompe Funebri | Ferrari a Genova | ferrarifuneral.it‎,ADS A,44.394044_8.958185,pompe funebri,False,False,False,to be implemented
20,,0,3,23/07/19 01:33:02,Pompe Funebri | De Marchi a Recco | onoranzefunebridemarchi.it‎,ADS A,44.394044_8.958185,pompe funebri,True,True,True,to be implemented
21,,0,0,23/07/19 01:33:02,Pompe Funebri Genova | Barletta e Granello‎,ADS B,44.394044_8.958185,pompe funebri,No ADS,No ADS,False,to be implemented
22,,0,1,23/07/19 01:33:02,Pompe Funebri | La Codevillese a Voghera‎,ADS B,44.394044_8.958185,pompe funebri,No ADS,No ADS,True,to be implemented
23,,0,0,23/07/19 01:59:55,Pompe Funebri | A.Se.f. a Genova | asef.it‎,ADS A,44.394044_8.958185,pompe funebri,,,,to be implemented
