,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0.0,0.0,12/07/19 02:41:31,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
1,,0.0,0.0,12/07/19 02:43:42,Agenzia Web Design | Seppia Comunicazione | seppia.ink‎,ADS A,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
2,,0.0,0.0,12/07/19 02:45:53,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
3,,0.0,0.0,12/07/19 02:48:05,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
4,,0.0,0.0,12/07/19 02:50:18,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
5,,0.0,1.0,12/07/19 02:50:18,PC Academy | Master in Web Design‎,ADS B,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
6,,0.0,0.0,12/07/19 02:52:28,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
7,,0.0,1.0,12/07/19 02:52:28,PC Academy | Master in Web Design‎,ADS B,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
8,,0.0,2.0,12/07/19 02:52:28,Web design | Programma per web design‎,ADS B,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
9,,0.0,0.0,12/07/19 02:54:39,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
10,,0.0,1.0,12/07/19 02:54:39,PC Academy | Master in Web Design‎,ADS B,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
11,,0.0,2.0,12/07/19 02:54:39,Programmi per web design | Inizia a costruire il tuo sito‎,ADS B,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
12,,,,12/07/19 03:00:29,Not Available,NO ADS BOXES,S_e,pubblicità web design,,,,to be implemented
13,,0.0,0,12/07/19 03:04:30,Get a Free Website Design | Wix Has Stunning Templates‎,ADS A,44.393906_8.958207,pubblicità web design,No ADS,No ADS,No ADS,to be implemented
14,,0.0,0,12/07/19 03:04:30,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,pubblicità web design,True,True,True,to be implemented
15,,0.0,0,12/07/19 03:06:48,Get a Free Website Design | Wix Has Stunning Templates‎,ADS B,44.393906_8.958207,pubblicità web design,False,No ADS,False,to be implemented
16,,0.0,1,12/07/19 03:06:48,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,pubblicità web design,True,No ADS,True,to be implemented
17,,0.0,0,12/07/19 03:08:59,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,pubblicità web design,False,No ADS,False,to be implemented
18,,0.0,1,12/07/19 03:08:59,Get a Free Website Design | Wix Has Stunning Templates‎,ADS B,44.393906_8.958207,pubblicità web design,True,No ADS,True,to be implemented
19,,0.0,0,12/07/19 03:11:11,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,pubblicità web design,False,No ADS,False,to be implemented
20,,0.0,1,12/07/19 03:11:11,Get a Free Website Design | Wix Has Stunning Templates‎,ADS B,44.393906_8.958207,pubblicità web design,False,No ADS,False,to be implemented
21,,0.0,2,12/07/19 03:11:11,PC Academy | Master in Web Design‎,ADS B,44.393906_8.958207,pubblicità web design,True,No ADS,True,to be implemented
