,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0.0,0.0,16/07/19 01:59:23,Pubblicita On Line | Cerca Info e Risultati Ora | smarter.com‎,ADS A,44.393906_8.958207,pubblicità web,False,No ADS,No ADS,to be implemented
1,,0.0,1.0,16/07/19 01:59:23,Pubblicizzare sito | Primi sui Motori di Ricerca | pine.agency‎,ADS A,44.393906_8.958207,pubblicità web,True,No ADS,No ADS,to be implemented
2,,0.0,0.0,16/07/19 02:01:23,Parla con un nostro Esperto | Consulenza gratuita | Agenzia Partner‎,ADS A,44.393906_8.958207,pubblicità web,No ADS,No ADS,No ADS,to be implemented
3,,,,16/07/19 02:03:22,Not Available,NO ADS BOXES,S_e,pubblicità web,,,,to be implemented
4,,,,16/07/19 02:07:02,Not Available,NO ADS BOXES,S_e,pubblicità web,,,,to be implemented
5,,0.0,0,16/07/19 15:23:44,Pubblicita On Line | Qui su Simpli.com‎,ADS B,44.393906_8.958207,pubblicità web,True,True,No ADS,to be implemented
6,,0.0,0,16/07/19 15:25:45,Web Agency Genova | Marketing a risposta diretta | Contattaci adesso‎,ADS B,44.393906_8.958207,pubblicità web,False,False,False,to be implemented
7,,0.0,1,16/07/19 15:25:45,Pubblicita On Line | Cerca Info e Risultati Ora‎,ADS B,44.393906_8.958207,pubblicità web,True,True,True,to be implemented
8,,0.0,0,16/07/19 15:27:43,Web Agency Genova | Marketing a risposta diretta | Contattaci adesso‎,ADS B,44.393906_8.958207,pubblicità web,False,No ADS,No ADS,to be implemented
9,,0.0,1,16/07/19 15:27:43,Pubblicita On Line | Offriamo Ottimi Risultati‎,ADS B,44.393906_8.958207,pubblicità web,False,No ADS,No ADS,to be implemented
10,,0.0,2,16/07/19 15:27:43,Pubblicità Web | Gruppo Next | Pubblicità in Cambio Merce‎,ADS B,44.393906_8.958207,pubblicità web,True,No ADS,No ADS,to be implemented
11,,0.0,0,16/07/19 15:29:42,Pubblicita On Line | Qui su Simpli.com‎,ADS B,44.393906_8.958207,pubblicità web,False,No ADS,False,to be implemented
12,,0.0,1,16/07/19 15:29:42,Pubblicità Web | Gruppo Next | Pubblicità in Cambio Merce‎,ADS B,44.393906_8.958207,pubblicità web,False,No ADS,False,to be implemented
13,,0.0,2,16/07/19 15:29:42,Pubblicità Online Banner | Cerca Pubblicità Online Banner‎,ADS B,44.393906_8.958207,pubblicità web,True,No ADS,True,to be implemented
14,,0.0,0,16/07/19 15:31:42,Pubblicita On Line | Cerca Info e Risultati Ora‎,ADS B,44.393906_8.958207,pubblicità web,False,No ADS,False,to be implemented
15,,0.0,1,16/07/19 15:31:42,Pubblicità Web | Gruppo Next | Pubblicità in Cambio Merce‎,ADS B,44.393906_8.958207,pubblicità web,False,No ADS,False,to be implemented
16,,0.0,2,16/07/19 15:31:42,Pubblicità Web | Cerca Pubblicità Web‎,ADS B,44.393906_8.958207,pubblicità web,True,No ADS,True,to be implemented
17,,0.0,0,16/07/19 15:33:40,Pubblicita On Line | Cercalo in secondi‎,ADS B,44.393906_8.958207,pubblicità web,No ADS,No ADS,No ADS,to be implemented
18,,0.0,1,16/07/19 15:33:40,Pubblicità Web | Gruppo Next | Pubblicità in Cambio Merce‎,ADS B,44.393906_8.958207,pubblicità web,No ADS,No ADS,No ADS,to be implemented
19,,0.0,2,16/07/19 15:33:40,Pubblicità Online Banner | Cerca Pubblicità Online Banner‎,ADS B,44.393906_8.958207,pubblicità web,No ADS,No ADS,No ADS,to be implemented
