,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0.0,0.0,17/07/19 02:19:11,Milano 36 tecnici per riparazione cellulari e telefoni vicino a te‎,ADS A,45.451450_9.204327,riparazione telefoni,No ADS,No ADS,No ADS,to be implemented
1,,,,17/07/19 02:21:11,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
2,,,,17/07/19 02:24:52,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
3,,0.0,0.0,24/07/19 01:10:53,assistenza delivery cellulari | riparazione vetri a domicilio‎,ADS A,45.451450_9.204327,riparazione telefoni,No ADS,No ADS,No ADS,to be implemented
4,,,,24/07/19 01:13:03,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
5,,,,25/07/19 02:33:53,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
6,,,,26/07/19 01:21:20,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
7,,,,26/07/19 02:29:26,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
8,,,,28/07/19 15:23:44,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
9,,,,28/07/19 21:29:21,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
10,,,,29/07/19 01:30:00,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
11,,,,29/07/19 01:41:19,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
12,,,,29/07/19 02:29:49,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
13,,,,31/07/19 02:30:29,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
14,,,,31/07/19 02:34:30,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
15,,,,31/07/19 03:35:00,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
16,,,,31/07/19 03:39:01,Not Available,NO ADS BOXES,P_h,riparazione telefoni,,,,to be implemented
