,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0,0,17/07/19 03:28:39,Servizi Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,1.0,1.0,to be implemented
1,,0,0,17/07/19 03:28:39,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,True,1.0,1.0,to be implemented
2,,0,0,17/07/19 03:30:47,Servizi Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,1.0,1.0,to be implemented
3,,0,0,17/07/19 03:30:47,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,1.0,1.0,to be implemented
4,,0,0,23/07/19 01:21:48,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
5,,0,0,23/07/19 01:21:48,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
6,,0,1,23/07/19 01:21:48,Servizi Funebri | Del Buono‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
7,,0,2,23/07/19 01:21:48,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
8,,0,0,23/07/19 01:24:06,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
9,,0,0,23/07/19 01:24:06,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,False,False,to be implemented
10,,0,1,23/07/19 01:24:06,Servizi Funebri | Del Buono‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,False,False,to be implemented
11,,0,2,23/07/19 01:24:06,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,True,True,to be implemented
12,,0,0,23/07/19 01:44:57,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,,,,to be implemented
13,,0,0,23/07/19 01:44:57,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,,,,to be implemented
14,,0,1,23/07/19 01:44:57,Servizi Funebri | Del Buono‎,ADS B,44.306276_8.481562,servizi funebri,,,,to be implemented
15,,0,0,23/07/19 01:48:22,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,,,,to be implemented
16,,0,0,24/07/19 00:19:21,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,,,,to be implemented
17,,0,0,24/07/19 00:19:21,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,,,,to be implemented
18,,0,1,24/07/19 00:19:21,Servizi Funebri | Del Buono‎,ADS B,44.306276_8.481562,servizi funebri,,,,to be implemented
19,,0,2,24/07/19 00:19:21,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,,,,to be implemented
20,,0,0,24/07/19 00:55:49,Servizi Funebri | Organizzazione di Funerali‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
21,,0,1,24/07/19 00:55:49,Servizi Funebri | Del Buono‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
22,,0,2,24/07/19 00:55:49,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
23,,0,0,24/07/19 00:55:49,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
24,,0,0,24/07/19 00:58:09,Servizi Funebri | Assistenza Funebre Completa‎,ADS A,44.306276_8.481562,servizi funebri,True,True,No ADS,to be implemented
25,,0,0,24/07/19 00:58:09,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
26,,0,1,24/07/19 00:58:09,Servizi Funebri | Del Buono‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
27,,0,2,24/07/19 00:58:09,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
28,,0,0,24/07/19 01:05:02,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
29,,0,1,24/07/19 01:05:02,Servizi Funebri | Del Buono | pompefunebridelbuono.com‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
30,,0,2,24/07/19 01:05:02,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
31,,0,0,24/07/19 01:05:02,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
32,,0,0,24/07/19 01:07:21,Servizi Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
33,,0,0,24/07/19 01:07:21,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
34,,0,1,24/07/19 01:07:21,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
35,,0,2,24/07/19 01:07:21,Servizi Funebri | Del Buono‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
36,,0,0,24/07/19 01:24:34,Servizi Funebri | Assistenza Funebre Completa | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
37,,0,0,24/07/19 01:24:34,Onoranze funebri valbormida | Reperibilità 24 ore su 24‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
38,,0,1,24/07/19 01:24:34,Servizi Funebri | Del Buono‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
39,,0,2,24/07/19 01:24:34,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
40,,0,0,24/07/19 01:26:52,Servizi Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
41,,0,0,24/07/19 01:26:52,Onoranze funebri valbormida | Reperibilità 24 ore su 24‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,False,False,to be implemented
42,,0,1,24/07/19 01:26:52,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,False,False,to be implemented
43,,0,2,24/07/19 01:26:52,Servizi Funebri | Del Buono‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,True,True,to be implemented
44,,0,0,24/07/19 02:30:05,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
45,,0,0,24/07/19 02:30:05,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
46,,0,1,24/07/19 02:30:05,Servizi Funebri | Del Buono‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
47,,0,2,24/07/19 02:30:05,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
48,,0,0,24/07/19 02:32:24,Servizi Funebri | Servizi Funebri Completi‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
49,,0,1,24/07/19 02:32:24,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
50,,0,2,24/07/19 02:32:24,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
51,,0,0,24/07/19 02:38:53,Servizi Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
52,,0,1,24/07/19 02:38:53,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
53,,0,2,24/07/19 02:38:53,Onoranze funebri valbormida | Reperibilità 24 ore su 24‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
54,,0,3,24/07/19 02:38:53,Servizi Funebri | Del Buono‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
55,,0,0,24/07/19 02:41:03,Servizi Funebri | Organizzazione di Funerali‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
56,,0,0,24/07/19 02:41:03,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,False,False,to be implemented
57,,0,1,24/07/19 02:41:03,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,False,False,to be implemented
58,,0,2,24/07/19 02:41:03,Servizi Funebri | Del Buono‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,True,True,to be implemented
59,,0,0,24/07/19 16:03:55,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
60,,0,0,24/07/19 16:03:55,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
61,,0,1,24/07/19 16:03:55,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
62,,0,0,24/07/19 16:06:14,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
63,,0,0,24/07/19 16:06:14,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,False,False,No ADS,to be implemented
64,,0,1,24/07/19 16:06:14,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,No ADS,to be implemented
65,,0,0,25/07/19 02:16:01,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
66,,0,0,25/07/19 02:16:01,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
67,,0,1,25/07/19 02:16:01,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
68,,0,0,25/07/19 02:18:23,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
69,,0,0,25/07/19 02:18:23,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
70,,0,1,25/07/19 02:18:23,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
71,,0,0,25/07/19 14:43:09,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
72,,0,1,25/07/19 14:43:09,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
73,,0,2,25/07/19 14:43:09,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
74,,0,0,25/07/19 14:45:19,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
75,,0,0,25/07/19 14:45:19,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,False,No ADS,False,to be implemented
76,,0,1,25/07/19 14:45:19,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,No ADS,True,to be implemented
77,,0,0,25/07/19 14:48:28,Servizi Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
78,,0,1,25/07/19 14:48:28,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
79,,0,2,25/07/19 14:48:28,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
80,,0,0,25/07/19 14:50:37,Servizi Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
81,,0,0,25/07/19 14:50:37,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,False,No ADS,to be implemented
82,,0,1,25/07/19 14:50:37,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,True,No ADS,to be implemented
83,,0,0,25/07/19 14:53:36,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
84,,0,0,25/07/19 14:53:36,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
85,,0,1,25/07/19 14:53:36,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
86,,0,0,25/07/19 14:55:56,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
87,,0,0,25/07/19 14:55:56,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,False,False,No ADS,to be implemented
88,,0,1,25/07/19 14:55:56,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,No ADS,to be implemented
89,,0,0,26/07/19 01:20:15,Servizi Funebri | Assistenza Funebre Completa | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,,,,to be implemented
90,,0,0,26/07/19 01:31:10,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
91,,0,1,26/07/19 01:31:10,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
92,,0,0,26/07/19 01:31:10,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
93,,0,0,26/07/19 02:04:06,Servizi Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
94,,0,0,26/07/19 02:04:06,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
95,,0,1,26/07/19 02:04:06,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
96,,0,0,26/07/19 02:27:09,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
97,,0,0,26/07/19 02:27:09,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
98,,0,1,26/07/19 02:27:09,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
99,,0,0,28/07/19 15:20:01,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
100,,0,0,28/07/19 15:20:01,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
101,,0,0,28/07/19 15:22:21,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,No ADS,True,True,to be implemented
102,,0,0,28/07/19 15:22:21,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
103,,0,0,28/07/19 15:27:23,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
104,,0,0,28/07/19 15:27:23,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,True,No ADS,to be implemented
105,,0,0,28/07/19 15:29:41,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,No ADS,True,to be implemented
106,,0,0,28/07/19 15:29:41,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
107,,0,0,28/07/19 21:29:12,Servizi Funebri | Organizzazione di Funerali | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
108,,0,0,28/07/19 21:29:12,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,True,True,to be implemented
109,,0,0,28/07/19 21:31:32,Servizi Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
110,,0,0,28/07/19 21:31:32,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,No ADS,False,to be implemented
111,,0,1,28/07/19 21:31:32,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,No ADS,True,to be implemented
112,,0,0,29/07/19 02:00:59,Servizi Funebri | Servizi Funebri Completi | pompefunebriofac.it‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
113,,0,0,29/07/19 02:00:59,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,No ADS,False,to be implemented
114,,0,1,29/07/19 02:00:59,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,No ADS,No ADS,True,to be implemented
115,,0,0,29/07/19 02:17:27,Servizi Funebri | Organizzazione di Funerali‎,ADS A,44.306276_8.481562,servizi funebri,True,True,,to be implemented
116,,0,0,29/07/19 02:29:37,Servizi Funebri | Organizzazione di Funerali‎,ADS A,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
117,,0,0,29/07/19 02:29:37,Organizzazione Funerali | Sivioli Onoranze Funebri‎,ADS B,44.306276_8.481562,servizi funebri,False,False,False,to be implemented
118,,0,1,29/07/19 02:29:37,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,servizi funebri,True,True,True,to be implemented
