,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,,,12/07/19 20:08:45,Not Available,NO ADS BOXES,P_h,smartfone ripara,,,,to be implemented
1,,,,12/07/19 20:12:46,Not Available,NO ADS BOXES,P_h,smartfone ripara,,,,to be implemented
2,,,,12/07/19 20:16:50,Not Available,NO ADS BOXES,P_h,smartfone ripara,,,,to be implemented
3,,0.0,0.0,12/07/19 20:20:53,Amazon.it - Smartphone Repair | Scopri tutte le offerte‎,ADS B,45.451450_9.204327,smartfone ripara,No ADS,No ADS,No ADS,to be implemented
4,,,,13/07/19 16:04:50,Not Available,NO ADS BOXES,P_h,smartfone ripara,,,,to be implemented
5,,,,13/07/19 16:08:51,Not Available,NO ADS BOXES,P_h,smartfone ripara,,,,to be implemented
6,,0.0,0,13/07/19 16:12:55,Smartphone Repair | su Amazon.it‎,ADS B,45.451450_9.204327,smartfone ripara,No ADS,No ADS,No ADS,to be implemented
7,,0.0,0,13/07/19 16:15:08,Smartphone Repair su Amazon.it | Scopri tutte le offerte‎,ADS B,45.451450_9.204327,smartfone ripara,No ADS,No ADS,No ADS,to be implemented
8,,0.0,1,13/07/19 16:15:08,Smartphone Revisionati - Batteria Nuova e Garanzia‎,ADS B,45.451450_9.204327,smartfone ripara,No ADS,No ADS,No ADS,to be implemented
9,,0.0,2,13/07/19 16:15:08,Strumenti e Attrezzature per Riparazione Cellulari‎,ADS B,45.451450_9.204327,smartfone ripara,No ADS,No ADS,No ADS,to be implemented
10,,0.0,0,13/07/19 16:17:20,Smartphone Repair | su Amazon.it‎,ADS B,45.451450_9.204327,smartfone ripara,No ADS,No ADS,No ADS,to be implemented
11,,0.0,1,13/07/19 16:17:20,Smartphone Revisionati - Batteria Nuova e Garanzia‎,ADS B,45.451450_9.204327,smartfone ripara,No ADS,No ADS,No ADS,to be implemented
12,,0.0,2,13/07/19 16:17:20,Strumenti e Attrezzature per Riparazione Cellulari‎,ADS B,45.451450_9.204327,smartfone ripara,No ADS,No ADS,No ADS,to be implemented
