,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0.0,0.0,13/07/19 16:47:02,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,web design commercial,No ADS,No ADS,No ADS,to be implemented
1,,0.0,0.0,13/07/19 16:49:13,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,web design commercial,No ADS,No ADS,No ADS,to be implemented
2,,0.0,1.0,13/07/19 16:49:13,Get a Free Website Design | Wix Has Stunning Templates‎,ADS B,44.393906_8.958207,web design commercial,No ADS,No ADS,No ADS,to be implemented
3,,,,13/07/19 16:53:31,Not Available,NO ADS BOXES,S_e,web design commercial,,,,to be implemented
4,,0.0,0.0,14/07/19 01:13:28,Get a Free Website Design | Wix Has Stunning Templates | wix.com‎,ADS A,44.393906_8.958207,web design commercial,False,False,False,to be implemented
5,,0.0,1.0,14/07/19 01:13:28,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjx5ajlgrPjAhUE2LIKHa5qD-cYABABGgJscg&amp;ohost=www.google.com&amp;cid=CAASEuRoG2nJ3-V29y4MYFEuy10zVQ&amp;sig=AOD64_0sQmzgzueB6rjCx8LPzU7NcK5O6A&amp;adurl=&amp;q="" data-ved=""2ahUKEwjH1aLlgrPjAhWQ1aYKHYNhD6kQqyQoAHoECAwQBA"" href=""http://www.wix.com/html5en/hiker-builder"" onmousedown=""return google.f['LmvwCb'](this)"" ontouchstart=""return google.f['bez1fd'](this)"">Free Website Builder</a>",ADS A,44.393906_8.958207,web design commercial,,,,to be implemented
6,,0.0,2.0,14/07/19 01:13:28,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjx5ajlgrPjAhUE2LIKHa5qD-cYABACGgJscg&amp;ohost=www.google.com&amp;cid=CAASEuRoG2nJ3-V29y4MYFEuy10zVQ&amp;sig=AOD64_1cImDdJJh-xlG421cQW4gB4oAhNg&amp;adurl=&amp;q="" data-ved=""2ahUKEwjH1aLlgrPjAhWQ1aYKHYNhD6kQqyQoAXoECAwQBQ"" href=""http://www.wix.com/html5en/hiker-hosting"" onmousedown=""return google.f['LmvwCb'](this)"" ontouchstart=""return google.f['bez1fd'](this)"">Free Hosting</a>",ADS A,44.393906_8.958207,web design commercial,,,,to be implemented
7,,0.0,3.0,14/07/19 01:13:28,Agenzia Web Design | Seppia Comunicazione | seppia.ink‎,ADS A,44.393906_8.958207,web design commercial,False,False,False,to be implemented
8,,0.0,4.0,14/07/19 01:13:28,Master grafica web Adobe - corsi-informatica.net‎,ADS A,44.393906_8.958207,web design commercial,True,True,True,to be implemented
9,,0.0,0.0,14/07/19 01:41:29,Get a Free Website Design | Wix Has Stunning Templates | wix.com‎,ADS A,44.393906_8.958207,web design commercial,False,False,No ADS,to be implemented
