,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0,0,17/07/19 01:13:02,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,web design marketing,1.0,1.0,True,to be implemented
1,,0,0,17/07/19 01:15:02,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,web design marketing,0.0,0.0,False,to be implemented
2,,0,1,17/07/19 01:15:02,Web marketing | Scopri cosa possiamo offrirti‎,ADS B,44.393906_8.958207,web design marketing,1.0,1.0,True,to be implemented
3,,0,0,17/07/19 01:17:02,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,web design marketing,1.0,1.0,No ADS,to be implemented
4,,0,0,17/07/19 01:31:50,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,web design marketing,No ADS,True,No ADS,to be implemented
5,,0,0,17/07/19 01:33:49,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,web design marketing,True,True,No ADS,to be implemented
6,,0,0,17/07/19 01:35:47,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,web design marketing,True,True,True,to be implemented
7,,0,0,17/07/19 02:15:52,Web to the Mainframe | Extend the relevancy of z/OS‎,ADS B,44.393906_8.958207,web design marketing,No ADS,True,True,to be implemented
8,,0,0,17/07/19 02:17:52,Web to the Mainframe | Extend the relevancy of z/OS‎,ADS B,44.393906_8.958207,web design marketing,True,True,True,to be implemented
9,,0,0,17/07/19 02:19:51,Web to the Mainframe | Extend the relevancy of z/OS‎,ADS B,44.393906_8.958207,web design marketing,No ADS,True,True,to be implemented
10,,0,0,17/07/19 03:18:56,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,web design marketing,True,True,No ADS,to be implemented
11,,0,0,17/07/19 03:20:56,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,web design marketing,True,True,True,to be implemented
12,,0,0,17/07/19 03:22:55,Agenzia Web Design | Seppia Comunicazione‎,ADS B,44.393906_8.958207,web design marketing,False,False,False,to be implemented
13,,0,1,17/07/19 03:22:55,Web marketing | Scopri cosa possiamo offrirti‎,ADS B,44.393906_8.958207,web design marketing,True,True,True,to be implemented
