,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0,0,16/07/19 01:58:11,Agenzia di Marketing IOL | Aumenta i Tuoi Clienti | ItaliaOnline.it‎,ADS A,44.393906_8.958207,web marketing,False,False,False,to be implemented
1,,0,1,16/07/19 01:58:11,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjS-enBkLjjAhWX4XcKHavVARgYABABGgJlZg&amp;ohost=www.google.com&amp;cid=CAASEuRo6wZvhCIweUhsuMJ3MtZGeA&amp;sig=AOD64_2211pCLEukePX6ms1rHqbk7_oriQ&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwjztePBkLjjAhWC-6QKHfI9A6oQqyQoAHoECAwQBA"" href=""https://promotions.italiaonline.it/comunicazione_online/"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Coupon Omaggio</a>",ADS A,44.393906_8.958207,web marketing,,,,to be implemented
2,,0,2,16/07/19 01:58:11,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjS-enBkLjjAhWX4XcKHavVARgYABACGgJlZg&amp;ohost=www.google.com&amp;cid=CAASEuRo6wZvhCIweUhsuMJ3MtZGeA&amp;sig=AOD64_0HrmGJx-JuutitFSpz-1am12zN7g&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwjztePBkLjjAhWC-6QKHfI9A6oQqyQoAXoECAwQBQ"" href=""https://promotions.italiaonline.it/comunicazione_online/?tab=ads"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Come funziona Google Ads?</a>",ADS A,44.393906_8.958207,web marketing,,,,to be implemented
3,,0,0,16/07/19 02:00:20,Agenzia di Marketing IOL | Aumenta i Tuoi Clienti | ItaliaOnline.it‎,ADS A,44.393906_8.958207,web marketing,False,False,False,to be implemented
4,,0,1,16/07/19 02:00:20,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwigvPr_kLjjAhVX6HcKHV-_B3gYABADGgJlZg&amp;ohost=www.google.com&amp;cid=CAASEuRoSs9sOS90Ac3xGw8lOi1A1A&amp;sig=AOD64_3JAG5c_Rbq23kZnEUKVuf9Ndggbg&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwj78fT_kLjjAhUQGewKHRMGB8wQqyQoAHoECAwQBA"" href=""https://promotions.italiaonline.it/comunicazione_online/"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Coupon Omaggio</a>",ADS A,44.393906_8.958207,web marketing,,,,to be implemented
5,,0,2,16/07/19 02:00:20,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwigvPr_kLjjAhVX6HcKHV-_B3gYABAGGgJlZg&amp;ohost=www.google.com&amp;cid=CAASEuRoSs9sOS90Ac3xGw8lOi1A1A&amp;sig=AOD64_2KZJ_Io3g02Y4KdbpCBA8gU7KbIg&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwj78fT_kLjjAhUQGewKHRMGB8wQqyQoAXoECAwQBQ"" href=""https://promotions.italiaonline.it/comunicazione_online/?tab=ads"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Come funziona Google Ads?</a>",ADS A,44.393906_8.958207,web marketing,,,,to be implemented
6,,0,3,16/07/19 02:00:20,Web marketing B2B innovativo | Scopri le aziende sul tuo sito‎,ADS A,44.393906_8.958207,web marketing,True,True,True,to be implemented
7,,,,16/07/19 02:02:22,Not Available,NO ADS BOXES,S_e,web marketing,,,,to be implemented
8,,0,0,16/07/19 02:06:05,Agenzia di Marketing IOL | Aumenta i Tuoi Clienti | ItaliaOnline.it‎,ADS A,44.393906_8.958207,web marketing,False,False,False,to be implemented
9,,0,1,16/07/19 02:06:05,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjcvqakkrjjAhXB5HcKHYTdAvkYABABGgJlZg&amp;ohost=www.google.com&amp;cid=CAASEuRovCrt18pI5JtVRO0Otom_hQ&amp;sig=AOD64_2nzSgl8OLv5veASgmNqdXngPY8WA&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwj3xKCkkrjjAhUL2aQKHTCAAHoQqyQoAHoECAwQBA"" href=""https://promotions.italiaonline.it/comunicazione_online/"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Coupon Omaggio</a>",ADS A,44.393906_8.958207,web marketing,,,,to be implemented
10,,0,2,16/07/19 02:06:05,"<h3><a class=""V0MxL KLi8Vd"" data-arwt=""//www.googleadservices.com/pagead/aclk?sa=L&amp;ai=DChcSEwjcvqakkrjjAhXB5HcKHYTdAvkYABACGgJlZg&amp;ohost=www.google.com&amp;cid=CAASEuRovCrt18pI5JtVRO0Otom_hQ&amp;sig=AOD64_36oUK9J2E8LruqRO5VHky62QTmZQ&amp;adurl=&amp;q="" data-mousedown=""LmvwCb"" data-touchstart=""bez1fd"" data-ved=""2ahUKEwj3xKCkkrjjAhUL2aQKHTCAAHoQqyQoAXoECAwQBQ"" href=""https://promotions.italiaonline.it/comunicazione_online/?tab=ads"" onmousedown=""return google.f[this.getAttribute('data-mousedown')](this)"" ontouchstart=""return google.f[this.getAttribute('data-touchstart')](this)"">Come funziona Google Ads?</a>",ADS A,44.393906_8.958207,web marketing,,,,to be implemented
11,,,,16/07/19 02:08:07,Not Available,NO ADS BOXES,S_e,web marketing,,,,to be implemented
